targetid,z,zwarn,coadd_fiberstatus,spectype,mean_fiber_ra,mean_fiber_dec
39633408481038617,0.34562053191662206,0,0,GALAXY,271.8086,61.711926
39633405599551194,0.3978972614832212,0,0,GALAXY,271.71115,61.51888
39633408485233256,0.2623657221624611,0,0,GALAXY,272.2996,61.73266
39633408485233777,0.44626688488112626,0,0,GALAXY,272.35004,61.7502
39633408472647305,0.4137205696075868,0,0,GALAXY,270.43738,61.656284
39633408485230151,0.26061376987062,0,0,GALAXY,271.99716,61.843246
39633411341553667,0.45959936195646944,0,0,GALAXY,272.05286,61.895466
39633411341553045,0.294064739454056,0,0,GALAXY,271.98273,61.914112
39633405595353727,0.42731313586934117,0,0,GALAXY,270.84772,61.44938
39633405595354261,0.4127310543927779,0,0,GALAXY,270.90805,61.48289
39633399765274876,0.4156613945848296,0,0,GALAXY,270.7665,61.033154
39633399769465006,0.4258202950711251,0,0,GALAXY,270.78528,61.106323
39633399769465116,0.4320248647628059,0,0,GALAXY,270.79953,61.112423
39633399765274266,0.39734167137548493,0,0,GALAXY,270.7014,61.096375
39633399765271882,0.3214772628301876,0,0,GALAXY,270.42435,61.025307
39633399765272689,0.32085637993767496,0,0,GALAXY,270.5187,61.08212
39633402688703221,0.4309749096872517,0,0,GALAXY,270.32407,61.3368
39633402692895198,0.3203800931726542,0,0,GALAXY,270.56805,61.125435
39633402688702995,0.4871414787853628,0,0,GALAXY,270.2966,61.34783
39633402692895349,0.31743826865602415,0,0,GALAXY,270.58344,61.142372
39633402692894938,0.31742705442990926,0,0,GALAXY,270.54117,61.131042
39633399765272481,0.32177354785179835,0,0,GALAXY,270.4906,61.074474
39633399765272506,0.3189590709061353,0,0,GALAXY,270.4931,61.07941
39633399765272239,0.3211817889309598,0,0,GALAXY,270.4637,61.091293
39633405591159356,0.4417037246207668,0,0,GALAXY,270.32123,61.436657
39633399765272140,0.3215176570111163,0,0,GALAXY,270.45343,61.07123
39633411341551407,0.4267786712133297,0,0,GALAXY,271.80048,61.971264
39633405586967906,0.44846607594984683,0,0,GALAXY,270.10437,61.43667
39633399773660396,0.2948384791541677,0,0,GALAXY,271.402,61.04016
39633399773659853,0.46539423207601543,0,0,GALAXY,271.35016,61.082962
39633402692896140,0.4258134953960525,0,0,GALAXY,270.67,61.182205
39633402692895950,0.3205925169213579,0,0,GALAXY,270.64233,61.236595
39633402692895527,0.32079163901597507,0,0,GALAXY,270.6002,61.212837
39633405586967912,0.450212870273927,0,0,GALAXY,270.10513,61.43752
39633408472646044,0.34249769415684034,0,0,GALAXY,270.30762,61.64519
39633402688704295,0.3218496261994631,0,0,GALAXY,270.44797,61.249855
39633402688704251,0.3196337003409576,0,0,GALAXY,270.44357,61.25623
39633399761080149,0.31990129706498416,0,0,GALAXY,270.2394,61.004864
39633399765271437,0.3221321393957847,0,0,GALAXY,270.36783,61.12196
39633402697093620,0.38088351014460337,0,0,GALAXY,271.54248,61.262306
39633402701283457,0.325081554568705,0,0,GALAXY,271.5633,61.30416
39633402697091913,0.32291845637010075,0,0,GALAXY,271.36526,61.2243
39633402697091838,0.32566318539665573,0,0,GALAXY,271.35767,61.22666
39633405595357135,0.4328188625654607,0,0,GALAXY,271.21887,61.495975
39633405586968271,0.49520925834402546,0,0,GALAXY,270.1436,61.586643
39633399765270560,0.37273335164045174,0,0,GALAXY,270.2576,61.090992
39633408468454819,0.40253014401496495,0,0,GALAXY,270.1601,61.6613
39633402697090776,0.41793896854785145,0,0,GALAXY,271.23843,61.304996
39633408468454766,0.4954806519143608,0,0,GALAXY,270.155,61.65472
39633408468454707,0.3828847321814976,0,0,GALAXY,270.14847,61.668903
39633408468454470,0.48732980451281754,0,0,GALAXY,270.11737,61.66658
39633408476842961,0.25889185587154984,0,0,GALAXY,271.1211,61.65455
39633408468453858,0.40249230798028185,0,0,GALAXY,270.0401,61.648003
39633408476842420,0.4953067676949838,0,0,GALAXY,271.05914,61.658104
39633408472649872,0.4213952004499065,0,0,GALAXY,270.6958,61.70186
39633405595355393,0.2617753671645943,0,0,GALAXY,271.0337,61.58781
39633399769465373,0.4265859090997018,0,0,GALAXY,270.83167,61.04403
39633399769466291,0.38013551843073207,0,0,GALAXY,270.94507,61.118885
39633402692898034,0.42683766944578055,0,0,GALAXY,270.90613,61.14733
39633408472648547,0.48624736756151427,0,0,GALAXY,270.55487,61.68686
39633402697089213,0.2951929799326292,0,0,GALAXY,271.05212,61.20625
39633408472648287,0.45345214085525126,0,0,GALAXY,270.5292,61.728348
39633408472647626,0.40440747326985343,0,0,GALAXY,270.46945,61.712273
39633408472648078,0.41220896812749325,0,0,GALAXY,270.50995,61.74253
39633402688701591,0.42996838265644555,0,0,GALAXY,270.14056,61.276585
39633402688702045,0.4315901900472336,0,0,GALAXY,270.1907,61.31859
39633408472648549,0.48955058167100457,0,0,GALAXY,270.55515,61.79818
39633402688701380,0.42958570762203296,0,0,GALAXY,270.11282,61.301945
39633402692898887,0.29160919499929794,0,0,GALAXY,271.00876,61.21076
39633402692898747,0.2932637422175931,0,0,GALAXY,270.99115,61.21806
39633402692898897,0.32190322390855286,0,0,GALAXY,271.01016,61.23713
39633408472648089,0.4931833290031025,0,0,GALAXY,270.5113,61.7849
39633408472648072,0.40490536975113395,0,0,GALAXY,270.50906,61.815266
